STT	Nội dung câu hỏi	Đáp án đúng		
185	Trong Menu lệnh của máy đo sóng vô tuyến TEMS có các nhóm lệnh nào  sau đây	"Messaging, Video, Voice
- Control, Control Flow, IP
"		
186	Trong quy định về đo kiểm chất lượng dịch vụ truy nhập internet trên mạng di động mặt đất, chỉ tiêu về tỷ lệ truy nhập thành công dịch vụ phải đạt	≥ 90%		
187	Trong quy định về đo kiểm chất lượng dịch vụ truy nhập internet trên mạng di động mặt đất, chỉ tiêu về tỷ lệ truy nhập thành công dịch vụ phải đạt:	Đúng		
188	Trong quy định về đo kiểm chất lượng dịch vụ truy nhập internet trên mạng di động mặt đất, số lượng mẫu đo phân bố đều trong các điều kiện đo kiểm tối thiểu phải lấy là:	1500		
189	Trong quy định về đo kiểm chất lượng dịch vụ truy nhập internet trên mạng di động mặt đất, yêu cầu chung về vị trí đo kiểm là:	Đo trong nhà, ngoài trời tại các vị trí cố định và di động		
190	Trường Ethernet Test Aplications trong máy đo FTB-1 có các bài test nào	EtherSAM; RFC 2544		
191	Trường Transport Test Aplications trong máy đo FTB-1 có các bài test nào	PDH Bert; SDH Bert 		
192	User name và Password mặc định dùng để login vào máy đo vô tuyến MTU là gì	"User: administrator
Password: 1234
"		
193	Ứng dụng dùng để đo báo hiệu C7  của máy đo Textronic là gì 	K15 Protocol Tester		
194	Ưu điểm nổi bật của máy đo TEMS so với máy MTU trong việc đo driving Test 	Có khả năng phân tích, đánh giá, xuất báo cáo, trực quan hơn khi thực hiện phép đo		
195	Việc cấu hình các module MS, cấu hình các bài đo sẽ được thực hiện trên chương trình nào của máy đo MTU	Chương trình: Creator.exe		
196	Việc thực thi các cấu hình MS, các bài đo sẽ xẩy ra khi tắt bật chương trình nào của máy đo MTU	Chương trình: Executor.exe		
197	Với máy đo đồng bộ Time Analyze 7500 ( TA 7500 ) nguồn tham chiếu cho máy đo có thể Set chọn chọn từ	External		
				
