STT	N?i dung câu h?i	Ðáp án dúng
188	Thi?t b?  FW7500, công su?t phát  card khu?ch d?i tang theo s? bu?c sóng s? d?ng tuong ?ng di qua card, dúng hay sai	TRUE
189	Thi?t b? d?u cu?i nào sau dây  có th? du?c s? d?ng d? làm ch?c nang c?a Router?	"SSG-20
Cisco-888"
190	Thi?t b? d?ng b? US5Ge k?t n?i t?i PE trên VN2 d?:	C?p tín hi?u d?ng b? PTP cho các thi?t b? khác qua m?ng VN2
191	Thi?t b? E320 có m?y module ngu?n	1
192	Thi?t b? MGC và MG trong h? th?ng t?ng dài Surpass c?a VTN du?c k?t n?i v?i nhau qua	Ðu?ng truy?n VPN
193	Thi?t b? MX960 hi?n t?i có bao nhiêu FAN Tray	2
194	Thi?t b? nào trong MAN-E k?t n?i v?i PE/BRAS c?a VTN?	AGG
195	Thi?t b? OME6500 MSPP du?c thi?t k? d? cung c?p các lo?i d?ch v? nào sau dây	"Các d?ch v? SDH/SONET; Các d?ch v? PDH; Các d?ch v? bang r?ng (c? 3 )
"
196	Thi?t b? PE 7750 SR-7 có th? g?n t?i da bao nhiêu Line card 	5
197	Thu?t ng? cell trong m?ng di d?ng du?c hi?u là 	m?t vùng ph? sóng vô tuy?n.
198	Tr?m BTS có s? t?n s? càng nhi?u thì 	"càng ph?c v? du?c nhi?u thuê bao
T?c d? data c?a ngu?i dùng càng l?n
kh? nang gây nhi?u càng l?n"
199	Tr?ng thái led TRIB1 c?a card IFMA-8TC1 thi?t b? FW7500 c?nh báo màu vàng, nghia là 	"C?nhbáo AIS c?ng TRIB1;
C?nhbáo RDI c?ng TRIB"
200	Trên hu?ng  liên l?c gi?a 2 di?m báo hi?u, báo hi?u SS7 có th? dáp ?ng t?i da bao nhiêu kênh trung k? tho?i	4096
201	Trên m?t hu?ng liên l?c liên dài có 6 kênh trung k? tho?i, vào gi? cao di?m ghi nh?n có t?ng c?ng 54 phút liên l?c. Luu lu?ng trung bình (Erl/kênh) gi? cao di?m trên hu?ng này là bao nhiêu?	0.15
202	Trên thi?t b? FW7500, card khuêch d?i APMA-DRC1 ph?i luôn g?n trên shelf SHU2, dúng hay sai	TRUE
203	Trên thi?t b? FW7500, khi s? d?ng card khu?ch d?i APMA-DRC1 ph?i luôn s? d?ng cùng v?i  card  khu?ch d?i APMA-ULU1, dúng hay sai	TRUE
204	Trên thi?t b? FW7500, tín hi?u OSC du?c ghép vào tín hi?u DWDM t?i card:	Amplifier
205	Trên thi?t b? HW OSN8800, card nào sau dây th?c hi?n ghép 40 bu?c sóng ngõ vào d? t?o thành tín hi?u DWDM	M40
206	Trong các lo?i card sau dây, lo?i card nào n?m trên thi?t b? BRAS E320:	"LM-10 Uplink
GE-4 IOA
"
207	Trong các lo?i card sau dây, lo?i card nào n?m trên thi?t b? BRAS E320:	SRP-100; SFM-100
208	Trong các lo?i card sau dây, lo?i card nào n?m trên thi?t b? PE 7750:	"MDA m2-10gb-xp-xfp
IOM2-20g
"
209	Trong các lo?i card sau dây, lo?i card nào n?m trên thi?t b? PE MX960:	MIC 3D 20x 1GE(LAN) SFP
210	Trong các lo?i d?ch v? sau dây, d?ch v? nào có bang thông ?n d?nh nh?t?	Leasedline
211	Trong c?u trúc ch?c nang c?a t?ng dài MSSN các kh?i ch?c nang nào sau dây có c?u hình c? d?nh 	"OMU; STU; CMM
"
212	Trong h? di?u hành Cisco IOS XR, khai báo MPLS du?c th?c hi?n ? mode Global Configuration, dúng hay sai	TRUE
213	Trong h? th?ng chuy?n ti?p báo hi?u STP Tekelec, card nào sau dây có th?d?u n?i ra port ge, d? khai báo báo hi?u Sigtran.	E5-ENET
214	Trong h? th?ng STP Tekelek 2 card x? lý E5-MASP du?c g?n ? v? trí nào  sau dây 	1113/1114 và 1115/1116
215	Trong h? th?ng STP Tekelek card dánh s? 1102 s? du?c g?n ? v? trí nào sau dây 	Frame 1, shelf 1, slot 02
216	Trong h? th?ng STP Tekelek card E5-E1/T1 th?c hi?n ch?c nang nào sau dây	Cung c?p d?n 32 link báo hi?u kênh 64k ho?c 1 link báo hi?u HSL TDM.
217	Trong h? th?ng STP Tekelek card E5-ENET th?c hi?n ch?c nang chính nào sau dây	Cung c?p giao di?n v?t lý 10/100 Mbps và th?c hi?n x? lý báo hi?u sigtran.
218	Trong h? th?ng STP Tekelek có th? khai báo t?i da bao nhiêu link cho m?t linkset ?	16
219	Trong h? th?ng Surpass c?a TCT Net, MGC di?u khi?n các MG qua giao th?c nào?	MGCP, H248
220	Trong h? th?ng Surpass c?a TCT Net, thi?t b? nào sau dây không thu?c v? l?p phuong ti?n (Media) trong c?u trúc phân l?p c?a h? th?ng chuy?n m?ch m?m?	hiE 9200
221	Trong IOG 20C t?ng dài Toll/AXE2 ta có th? xu?t d? li?u ra ngoài b?ng cách nào ?	"Truy?n qua data link Ftam 
Truy?n qua data link Ericsson MTP
Truy?n qua dia quang
"
222	Trong ki?n trúc m?ng lõi UMTS, ph?n t? nào sau dây k?t n?i v?i GGSN? :	SGSN
223	Trong khung 2Mbps c?a lu?ng trung k? liên dài, tín hi?u báo hi?u R2 du?c ghép vào Time slot nào?	16
224	Trong m?ng báo hi?u s? 7, di?m báo hi?u (Signaling Point Code) là duy nh?t dúng hay sai	TRUE
225	Trong m?ng di?nh tuyê´n du`ng OSPF, m?i router trong m?ng d?u ph?i luu gi? các thông tin :	"Neighbor Table
Topology Table
Routing Table
"
226	Trong ring nam HW OSN8800, h? th?ng có th? th?c hi?n crossconnect ho?c passthrought bu?c sóng quang , dúng hay sai 	FALSE
227	Trong t?ng dài AXE Toll các phân h? con nào sau dây thu?c v? b? ph?n chuy?n m?ch APT	"GSS
TSS
"
228	Trong t?ng dài AXE Toll các phân h? con nào sau dây thu?c v? b? ph?n di?u khi?n APZ:	"RPS; CPS
"
229	Trong t?ng dài AXE10 nh?m chia t?i cho b? x? lý trung tâm (CP), ngu?i ta thi?t k? thêm các b? x? lý vùng (Regional Processor), Các RP h? tr? cho các CP x? lý các công vi?c chuyên bi?t nào dó, tuy nhiên t?t c? các quy?t d?nh d?u do CP	True 
230	trong thông tin di d?ng, h? th?ng m?ng lõi GPRS bao g?m các ph?n t? nào	SGSN,GGSN
231	trong thông tin di d?ng, SGSN là ph?n t? thu?c h? th?ng nào c?a m?ng	H? th?ng vô tuy?n gói chung GPRS
232	Trung k? liên dài gi?a t?ng dài AXE v?i các t?ng dài khác trên m?ng lu?i hi?n t?i dang s? d?ng các lo?i c?ng k?t n?i	"E1
STM1 
"
233	Vai trò c?a PE 7750/MX960 trong m?ng VN2	"Cung c?p d?ch v? L2/L3 VPN (unicast/multicast) 
LeaseLine/Peering Internet , d?nh tuy?n luu lu?ng MegaVNN/FTTH"
234	Vai trò c?a ph?n t? SPX trên các t?ng dài Ericsson blade cluster là gì 	X? lý báo hi?u
235	V? trí và ch?c nang c?a card SRU trong thi?t b? NE40E-4 và NE40E-8?   	Slot 5 và 6 ( NE40E-4 ) và slot 9 và 10 ( NE40E-8 ) cung c?p ch?c nang di?u khi?n chính cho toàn b? thi?t b? 
236	V? trí và ki?u d? phòng card RSP720-3C-GE trên MAN-E?	Slot 5,6  d? phòng ki?u 1:1 
237	Vi?c d?nh tuy?n c?a giao th?c RIP d?a trên 	Hop count (s? hop d?m du?c)
238	Vùng ph? sóng c?a tr?m 3G là c? d?nh hay thay d?i nhu th? nào 	Ph? thu?c vào s? thuê bao dang ho?t d?ng t?i tr?m nên vùng ph? sóng là d?ng
