Nội dung câu hỏi	Đáp án đúng
Trong hệ thống STP Tekelek 2 card xử lý E5-MASP được gắn ở vị trí nào  sau đây 	1113/1114 và 1115/1116
Trong hệ thống STP Tekelek card đánh số 1102 sẽ được gắn ở vị trí nào sau đây 	Frame 1, shelf 1, slot 02
Trong hệ thống STP Tekelek card E5-E1/T1 thực hiện chức năng nào sau đây	Cung cấp đến 32 link báo hiệu kênh 64k hoặc 1 link báo hiệu HSL TDM.
Trong hệ thống STP Tekelek card E5-ENET thực hiện chức năng chính nào sau đây	Cung cấp giao diện vật lý 10/100 Mbps và thực hiện xử lý báo hiệu sigtran.
Trong hệ thống STP Tekelek có thể khai báo tối đa bao nhiêu link cho một linkset ?	16
Trong hệ thống Surpass của TCT Net, MGC điều khiển các MG qua giao thức nào?	MGCP, H248
Trong hệ thống Surpass của TCT Net, thiết bị nào sau đây không thuộc về lớp phương tiện (Media) trong cấu trúc phân lớp của hệ thống chuyển mạch mềm?	hiE 9200
Trong IOG 20C tổng đài Toll/AXE2 ta có thể xuất dữ liệu ra ngoài bằng cách nào ?	"Truyền qua data link Ftam 
Truyền qua data link Ericsson MTP
Truyền qua dĩa quang
"
Trong kiến trúc mạng lõi UMTS, phần tử nào sau đây kết nối với GGSN? :	SGSN
Trong khung 2Mbps của luồng trung kế liên đài, tín hiệu báo hiệu R2 được ghép vào Time slot nào?	16
Trong mạng báo hiệu số 7, điểm báo hiệu (Signaling Point Code) là duy nhất đúng hay sai	TRUE
Trong mạng định tuyến dùng OSPF, mỗi router trong mạng đều phải lưu giữ các thông tin :	"Neighbor Table
Topology Table
Routing Table
"
Trong ring nam HW OSN8800, hệ thống có thể thực hiện crossconnect hoặc passthrought bước sóng quang , đúng hay sai 	FALSE
Trong tổng đài AXE Toll các phân hệ con nào sau đây thuộc về bộ phận chuyển mạch APT	"GSS
TSS
"
Trong tổng đài AXE Toll các phân hệ con nào sau đây thuộc về bộ phận điều khiển APZ:	"RPS; CPS
"
Trong tổng đài AXE10 nhằm chia tải cho bộ xử lý trung tâm (CP), người ta thiết kế thêm các bộ xử lý vùng (Regional Processor), Các RP hỗ trợ cho các CP xử lý các công việc chuyên biệt nào đó, tuy nhiên tất cả các quyết định đều do CP	True 
trong thông tin di động, hệ thống mạng lõi GPRS bao gồm các phần tử nào	SGSN,GGSN
trong thông tin di động, SGSN là phần tử thuộc hệ thống nào của mạng	Hệ thống vô tuyến gói chung GPRS
Trung kế liên đài giữa tổng đài AXE với các tổng đài khác trên mạng lưới hiện tại đang sử dụng các loại cổng kết nối	"E1
STM1 
"
Vai trò của PE 7750/MX960 trong mạng VN2	"Cung cấp dịch vụ L2/L3 VPN (unicast/multicast) 
LeaseLine/Peering Internet , định tuyến lưu lượng MegaVNN/FTTH"
Vai trò của phần tử SPX trên các tổng đài Ericsson blade cluster là gì 	Xử lý báo hiệu
Vị trí và chức năng của card SRU trong thiết bị NE40E-4 và NE40E-8?   	Slot 5 và 6 ( NE40E-4 ) và slot 9 và 10 ( NE40E-8 ) cung cấp chức năng điều khiển chính cho toàn bộ thiết bị 
Vị trí và kiểu dự phòng card RSP720-3C-GE trên MAN-E?	Slot 5,6  dự phòng kiều 1:1 
Việc định tuyến của giao thức RIP dựa trên 	Hop count (số hop đếm được)
Vùng phủ sóng của trạm 3G là cố định hay thay đổi như thế nào 	Phụ thuộc vào số thuê bao đang hoạt động tại trạm nên vùng phủ sóng là động
